#name longitude/X latitude/Y height/Z roll pitch yaw
#seconds_offset: 0
GOPR0596.JPG 0.7047781 41.7880591 9.223372036854776E16 3.61 -1.79 145.59
GOPR0597.JPG 0.7050651 41.7877121 9.223372036854776E16 7.41 -1.07 149.77
GOPR0598.JPG 0.7054685 41.7875307 9.223372036854776E16 0.0 3.24 119.4
GOPR0599.JPG 0.7054313 41.7873066 9.223372036854776E16 6.97 -2.22 192.9
GOPR0600.JPG 0.704843 41.7872979 9.223372036854776E16 -0.37 -6.84 269.81
GOPR0601.JPG 0.7039288 41.7873898 9.223372036854776E16 -2.23 -8.24 277.67
GOPR0602.JPG 0.7034932 41.7875844 9.223372036854776E16 -3.88 -5.45 302.57
GOPR0603.JPG 0.7031653 41.7878592 9.223372036854776E16 -4.87 -6.05 318.85
GOPR0604.JPG 0.703687 41.7879335 9.223372036854776E16 -0.51 3.87 79.3
GOPR0605.JPG 0.7039078 41.78812 9.223372036854776E16 -4.74 -0.09 36.02
