#name longitude/X latitude/Y height/Z roll pitch yaw
#seconds_offset: 0
1.JPG 0.7396429 41.8043097 9.223372036854776E16 -0.08 -9.1 121.15
10.JPG 0.7399175 41.8041127 9.223372036854776E16 0.36 -13.96 193.35
11.JPG 0.7398591 41.8038636 9.223372036854776E16 8.17 -12.24 196.81
12.JPG 0.7397137 41.8036555 9.223372036854776E16 -0.62 -16.25 238.69
13.JPG 0.7395823 41.803689 9.223372036854776E16 -8.26 2.84 4.96
14.JPG 0.7396288 41.8039075 9.223372036854776E16 -5.27 -7.5 12.74
15.JPG 0.7396347 41.8041152 9.223372036854776E16 -3.01 -13.27 330.9
16.JPG 0.7395174 41.8041726 9.223372036854776E16 4.7 -5.55 189.36
17.JPG 0.7392607 41.8035574 9.223372036854776E16 1.71 -17.88 202.46
18.JPG 0.7391858 41.8035626 9.223372036854776E16 -8.49 -4.91 6.92
19.JPG 0.7392561 41.8039335 9.223372036854776E16 -8.21 -5.89 16.45
2.JPG 0.7392308 41.8040845 9.223372036854776E16 -1.77 -18.03 242.5
20.JPG 0.739078 41.8040991 9.223372036854776E16 -9.51 -1.94 8.62
21.JPG 0.7391012 41.8042577 9.223372036854776E16 -3.27 -8.27 3.86
22.JPG 0.7390747 41.8043903 9.223372036854776E16 2.25 -10.48 298.92
23.JPG 0.7389785 41.8044262 9.223372036854776E16 17.45 -6.96 194.12
3.JPG 0.7389147 41.8042835 9.223372036854776E16 6.65 -10.08 184.62
4.JPG 0.738767 41.8040977 9.223372036854776E16 -1.09 -16.63 243.2
5.JPG 0.7385575 41.8040995 9.223372036854776E16 -7.95 -1.14 8.78
6.JPG 0.7386019 41.8043221 9.223372036854776E16 -9.94 -0.58 7.58
7.JPG 0.7385681 41.8044648 9.223372036854776E16 0.14 -11.41 279.13
8.JPG 0.7384056 41.8044448 9.223372036854776E16 4.61 -15.83 193.57
9.JPG 0.7383442 41.8042559 9.223372036854776E16 2.55 -14.83 183.33
