#name longitude/X latitude/Y height/Z roll pitch yaw
#seconds_offset: 0
GOPR0607.JPG 0.6863714 41.8002613 9.223372036854776E16 -2.27 -5.94 272.02
GOPR0608.JPG 0.6860853 41.8002006 9.223372036854776E16 -1.67 -2.78 250.7
GOPR0609.JPG 0.6861476 41.8000731 9.223372036854776E16 1.91 -1.82 142.97
GOPR0610.JPG 0.6863949 41.8000269 9.223372036854776E16 1.63 1.85 99.18
GOPR0611.JPG 0.6866948 41.8000956 9.223372036854776E16 -1.9 5.11 63.15
GOPR0612.JPG 0.6872674 41.8002425 9.223372036854776E16 0.09 1.55 67.55
GOPR0613.JPG 0.6873936 41.8001539 9.223372036854776E16 5.29 -1.11 163.58
GOPR0614.JPG 0.6874778 41.7999886 9.223372036854776E16 5.51 -0.24 159.9
GOPR0615.JPG 0.6876885 41.8000792 9.223372036854776E16 -2.87 1.83 47.92
GOPR0616.JPG 0.6877695 41.8002316 9.223372036854776E16 -3.2 -1.16 8.52
